"id","relid","year","type_of_violence","conflict_name","side_a","side_b","latitude","longitude","region","deaths_a","deaths_b","deaths_civilians","deaths_unknown"
81656,"IND-2008-2-124-31",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.908807,94.030685,"Asia",0,1,0,0
81657,"IND-2008-2-125-1.1",2008,2,"NSCN-IM - NSCN-U","NSCN-IM","NSCN-U",25.91174,93.7217,"Asia",0,1,0,0
84430,"IND-2006-2-124-6",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.903287,95.082629,"Asia",0,0,0,1
81744,"IND-2007-2-124-30",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.79527,94.868888,"Asia",1,0,1,0
81865,"IND-2008-2-125-1.2",2008,2,"NSCN-IM - NSCN-U","NSCN-IM","NSCN-U",25.91174,93.7217,"Asia",0,1,0,0
84431,"IND-2006-2-124-31",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.94746,94.473854,"Asia",0,8,0,0
82382,"IND-2007-2-124-3",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.91174,93.7217,"Asia",0,0,0,0
82388,"IND-2007-2-124-20",2007,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.96667,94.51667,"Asia",0,0,6,0
82958,"IND-2008-2-125-1.3",2008,2,"NSCN-IM - NSCN-U","NSCN-IM","NSCN-U",25.91174,93.7217,"Asia",1,0,0,0
83003,"IND-2008-2-124-7",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.77852,93.78508,"Asia",0,1,1,0
82999,"IND-2008-2-125-2",2008,2,"NSCN-IM - NSCN-U","NSCN-IM","NSCN-U",25.782249,93.742515,"Asia",2,2,0,0
83001,"IND-2008-2-124-5",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.779726,93.781661,"Asia",0,14,0,0
83002,"IND-2008-2-124-6",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.809177,93.841049,"Asia",0,1,0,0
83006,"IND-2008-2-124-14",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.896776,93.729965,"Asia",0,1,0,1
83007,"IND-2008-2-124-15",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.91174,93.7217,"Asia",0,0,0,2
83009,"IND-2008-2-124-18",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.6701,94.1077,"Asia",1,0,0,0
83010,"IND-2008-2-124-16",2008,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.77852,93.78508,"Asia",0,0,0,1
83012,"IND-2008-2-125-7",2008,2,"NSCN-IM - NSCN-U","NSCN-IM","NSCN-U",25.91174,93.7217,"Asia",0,0,0,12
84390,"IND-1992-2-380-20",1992,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",19.017587,72.856248,"Asia",0,0,0,0
84429,"IND-2001-2-124-4",2001,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.75,94.16667,"Asia",0,3,0,0
84512,"IND-2006-2-124-7",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.670576,94.695045,"Asia",0,1,0,0
84513,"IND-2006-2-124-8",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",26.774255,94.993995,"Asia",2,1,0,0
84514,"IND-2006-2-124-9",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.65625,94.447212,"Asia",0,2,0,0
84515,"IND-2006-2-124-10",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.500738,93.613235,"Asia",2,0,0,0
84516,"IND-2001-2-124-5",2001,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.75,94.16667,"Asia",0,1,0,0
84520,"IND-2006-2-124-32",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",24.966667,93.55,"Asia",1,0,0,0
84521,"IND-2006-2-124-33",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.06979,93.359619,"Asia",0,3,0,0
84525,"IND-2006-2-124-34",2006,2,"NSCN-IM - NSCN-K","NSCN-IM","NSCN-K",25.653347,94.036743,"Asia",0,0,0,0
84621,"IND-2002-2-380-26",2002,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",23.022021,72.592201,"Asia",0,0,0,1
84622,"IND-2002-2-380-28",2002,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",23.022021,72.592201,"Asia",0,0,0,5
84639,"IND-1990-2-380-35",1990,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",26.783675,82.223667,"Asia",0,0,0,13
84647,"IND-1992-2-380-21",1992,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",23.249391,77.417449,"Asia",0,0,0,143
84863,"IND-1996-2-210-6",1996,2,"Bodo - Santhal","Bodo","Santhal",26.0,93.0,"Asia",0,5,0,0
84985,"IND-1990-2-380-36",1990,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",20.0,77.0,"Asia",0,0,0,16
84986,"IND-1992-2-380-999",1992,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",27.5,90.5,"Asia",0,0,0,0
84987,"IND-2002-2-380-32",2002,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",23.302648,72.334114,"Asia",1,1,0,0
84992,"IND-2002-2-380-36",2002,2,"Hindus (India) - Muslims (India)","Hindus (India)","Muslims (India)",17.64744,75.888881,"Asia",0,0,0,2
